Dozentennummer,ProsopID,Vollname,Nachname,Vorname,Geburt,Tod,Institution,Fakultaet,Typ,Beschreibung,Von,Bis,Verwandt
1278,6.2.39,Ettlinger-Lachmann Elisabeth,Ettlinger-Lachmann,Elisabeth,1915-07-14,,['Universität'],['philosophisch-historisch'],"['austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasien in Breslau Sprottau ( Niederschlesien ) Berlin', 'Studium in Zürich Basel', 'Dr. phil. Basel', 'Schülerin von E. Pfuhl R. Laur K. Schefold E. Vogt A. von Salis', 'Lehrauftrag Provinzialrömische Archäologie', 'PD', 'aoP', 'Ruhestand']","['1942-01-01', '1964-01-01', '1969-01-01', '1970-01-01', '1977-01-01']",[],[]
1279,6.2.40,Imhof Max,Imhof,Max,1928-03-11,,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Bern', 'Studium in Bern Tübingen München', 'Diplom HLA Bern', 'Dr. phil. Bern', 'Schüler von M. W. Theiler', 'Gymnasiallehrer Bern', 'PD Klassische Philologie', 'aoP', '-']","['1953-01-01', '1965-01-01', '1970-01-01']",[],[]
1280,6.2.41,Ulich Eberhard,Ulich,Eberhard,1929-11-29,,['Universität'],['philosophisch-historisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Gymnasium Potsdam und Berchtesgaden', 'Studium in Salzburg und München', 'Diplom-Psychologe München', 'Dr. phil. München', 'PD München', 'oP Köln ( Sporthochschule )', 'HonP München', 'oP Zürich ( ETH )', 'aoP Arbeits-und Betriebspsychologie', '-', 'ff. oP Zürich ( ETH )']","['1954-01-01', '1955-01-01', '1965-01-01', '1970-01-01', '1972-01-01', '1973-01-01']",[],[]
1281,6.2.42,Strahm Christian Niklaus Ernst,Strahm,Christian Niklaus Ernst,1937-10-01,,['Universität'],['philosophisch-historisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Gymnasium Bern', 'Studium in Bern Freiburg i. Br. Zürich und Saarbrücken', 'Dr. phil. Bern', 'Schüler von H. - G. Bandi', 'Assistent Bern und Freiburg', 'Lehrauftrag Jüngere Urgeschichte besonders Jungsteinzeit und Bronzezeit', 'aoP', '-', 'Lehrbeauftragter Neuenburg', 'PD Freiburg i. Br.', 'aoP Freiburg i. Br.']","['1961-01-01', '1971-01-01', '1976-01-01', '1973-01-01', '1977-01-01']",[],['Sohn von HonP Hans Strahm ( 6. 3. 12 )']
1282,6.2.43,Fellmann Rudolf,Fellmann,Rudolf,1925-09-20,,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Basel', 'Studium in Basel', 'Dr. phil. Basel', 'Schüler von Rudolf Laur-Belart Harald Fuchs', 'PD Freiburg i. Br.', 'Lehrauftrag Provinzial-römische Archäologie', 'aoP', '-']","['1950-01-01', '1975-01-01', '1976-01-01', '1977-01-01']",[],[]
1283,6.2.44,Gysin Fritz,Gysin,Fritz,1937-03-05,,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Basel', 'Studium in Basel Lawrence / Kansas USA', 'Dr. phil. Basel', 'Schüler von Rud. Stamm ( Basel )', 'Universität Genf ( Chef de traveaux )', 'aoP Neuere englische Sprache und Literatur mit besonderer Berücksichtigung der Amerikanistik', '-']","['1971-01-01', '1979-01-01']",[],[]
1284,6.2.45,Groner Rudolf,Groner,Rudolf,1942-07-26,,['Universität'],['philosophisch-historisch'],"['austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasien in Glarus und Mödling bei Wien', 'Studium in Wien Bern', 'Dr. phil. Wien', 'Schüler von Rohracher Mittenekker Foppa Meili', 'Lektor Planung und statistische Auswertung psychologischer Experimente', 'PD Psychologie', 'aoP Psychologie und ihre quantitative Methodik', '-']","['1966-01-01', '1967-01-01', '1976-01-01', '1981-01-01']",[],[]
1285,6.2.46,Thomke Hellmut Heinrich,Thomke,Hellmut Heinrich,1932-10-25,,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Biel', 'Studium in Göttingen München und Bern', 'Diplom HLA Bern', 'Dr. phil. Bern', 'Gymnasiallehrer', 'PD Neuere deutsche Sprache und Literatur und Probleme der Deutschdidaktik', 'HonP', 'aoP Neuere deutsche Literatur', '-']","['1958-01-01', '1960-01-01', '1969-01-01', '1977-01-01', '1981-01-01']",[],[]
1286,6.2.47,Garamvölgyi-Tarjan Judit,Garamvölgyi-Tarjan,Judit,1937-01-23,,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Budapest', 'Studium in Budapest Bern', 'Dr. phil. Bern', 'Mitarbeit Schweiz. Osteuropabibliothek Bern', 'Assistentin / Oberassistentin Bern', 'Lehrauftrag Neuere allgemeine Geschichte', 'Lektorin', 'PD Neuere Geschichte', 'aoP', '-']","['1965-01-01', '1971-01-01', '1973-01-01', '1980-01-01', '1982-01-01']",[],[]
1287,6.2.48,Joye Jean-Claude,Joye,Jean-Claude,1935-04-23,,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Freiburg i. Ü.', 'Studium in Freiburg i. U. Bern', 'Dr. phil. Bern', 'Seminarlehrer Pruntrut und Biel', 'Lehrauftrag ( SLA ) Französische Literaturgeschichte', 'Lektor', 'PD', 'HonP Zeitgenössische französische Literatur', 'aoP Französische Literatur', '-']","['1962-01-01', '1966-01-01', '1970-01-01', '1978-01-01', '1979-01-01', '1982-01-01']",[],[]
1288,6.2.49,Fieguth Rolf,Fieguth,Rolf,1941-11-02,,['Universität'],['philosophisch-historisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Dr. phil.', 'PD Konstanz', 'Prof. FU Berlin', 'aoP Slawistik', '-', 'Koordinationslehrstuhl mit der Universität Freiburg']","['1977-01-01', '1980-01-01', '1983-01-01']",[],[]
1289,6.2.50,Wäfler Markus,Wäfler,Markus,1943-07-16,,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Zürich', 'Studium in Zürich München Berlin', 'Dr. phil. München', 'Schüler von D. O. Edzard A. Kammenhuber B. Hrouda', 'Assistent Berlin / Ausgrabungen in Syrien', 'PD Berlin', 'Assistenzprof. Berlin', 'Gastdozent Basel', 'Lehrauftrag Vorderasiatische Archäologie', 'aoP Vorderasiatische Archäologie und altorientalische Sprachen', '-']","['1971-01-01', '1978-01-01', '1979-01-01', '1980-01-01', '1983-01-01']",['1981-01-01'],[]
1290,6.3.1,Sprenger Aloys,Sprenger,Aloys,1813-01-01,1893-01-01,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium in Wien Dr. med. Wien', 'Regierungsdolmetscher und Sekretär der Asiatischen Gesellschaft in Calcutta bis', 'HonP Orientalische Sprache und Literatur', 'Ruf nach Heidelberg']","['1854-01-01', '1858-01-01', '1881-01-01']",[],[]
1291,6.3.2,Franck Eduard,Franck,Eduard,1817-01-01,,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Berlin', 'Musikausbildung in Düsseldorf ( Schüler Mendelssohns )', 'Studium in Berlin Dr.', 'Musikdirektor Köln', 'Musikdirektor Bernische Musikgesellschaft', 'HonP Musik', 'Wegzug von Bern']","['1859-01-01', '1867-01-01']",[],[]
1292,6.3.3,Mendel Johann Jakob,Mendel,Johann Jakob,1809-09-08,1881-12-22,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Schüler von Hoforganist Joh. Chr. Heinr. Rinck', 'Münsterorganist und Musikdirektor Bern', 'PD ( ev. - theol. ) Kirchenmusik', 'HonP ( phil. - hist. )', 'Tod']","['1830-01-01', '1859-01-01', '1875-01-01', '1881-01-01']",[],[]
1293,6.3.4,Jahn Albert,Jahn,Albert,1811-10-09,1900-08-23,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Bern', 'Studium in Bern ( Akademie ) nach Habilitation in Heidelberg und München ( Reisestipendium )', 'Studium', 'PD Klassische Philologie', 'HonP', 'Tod']","['1834-01-01', '1897-01-01', '1900-01-01']",[],['Sohn von aoP Carl Christian Jahn ( 6. 2. 1 )']
1294,6.3.5,Küenzler Johann Jakob,Küenzler,Johann Jakob,,,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'lehrtaetigkeit_unibe']","['Lehrer Kantonsschule Bern', 'Lektor SLA Englische Sprache', 'PD', 'Titularprofessor', 'Ruhestand']","['1879-01-01', '1884-01-01', '1904-01-01', '1921-01-01']",['1921-01-01'],[]
1295,6.3.6,Niggli Bernhard,Niggli,Bernhard,1845-01-27,1935-05-02,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Dr. phil.', 'Gymnasiallehrer Bern', 'PD Italienische Sprache und Literatur', 'Lektor SLA', 'Titularprofessor', 'Ruhestand als Lektor', 'Tod']","['1881-01-01', '1886-01-01', '1891-01-01', '1904-01-01', '1928-01-01', '1935-01-01']",['1925-01-01'],[]
1296,6.3.7,Hess Karl,Hess,Karl,1859-03-23,,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Musikstudien in Basel und Leipzig', 'Münsterorganist Bern', 'PD Musik und Musikgeschichte', 'Titularprofessor Musiktheorie', 'Tod']","['1882-01-01', '1906-01-01', '1912-01-01']",[],[]
1297,6.3.8,Brunnhofer Hermann,Brunnhofer,Hermann,1841-03-16,1916-10-28,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Aarau', 'Studium in Zürich Bonn Berlin Oxford', 'Dr. phil. Zürich', 'Schüler von Albrecht Weber ( Berlin )', 'Wissenschaftlicher Übersetzer des Zarensohnes in Russland', 'Wissenschaftlicher Publizist Berlin', 'PD Urgeschichte und historische Topographie des Orients russische Sprache und Literatur', 'Titularprofessor', 'Demission']","['1871-01-01', '1901-01-01', '1908-01-01', '1914-01-01']",[],[]
1298,6.3.9,von Mandach Johann Conrad,von Mandach,Johann Conrad,1870-05-15,1951-05-23,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Basel', 'Studium in Basel und Paris', 'Dr. Paris', 'PD Genf', 'PD Paris', 'Pressechef Armeestab', 'Adjunkt des Konservators des Kunstmuseums Bern', 'PD Kunstgeschichte', 'HonP', 'Ruhestand']","['1899-01-01', '1902-01-01', '1906-01-01', '1915-01-01', '1919-01-01', '1936-01-01', '1940-01-01']",['1914-01-01'],[]
1299,6.3.10,Homburger Otto,Homburger,Otto,1885-10-11,1964-05-19,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Dr. phil. Halle', 'Schüler von Ad. Goldschmidt', 'HonP Marburg a. L.', 'Emigration aus politischen Gründen', 'Mitarbeiter Burgerbibliothek Bern', 'HonP Kunstgeschichte des Mittelalters bes. Buchmalerei und englische Kunst', 'Ruhestand']","['1912-01-01', '1930-01-01', '1939-01-01', '1951-01-01', '1956-01-01']",[],[]
1300,6.3.11,Zbinden Hans,Zbinden,Hans,1893-08-26,1971-05-09,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern', 'Studium in Bern und Zürich', 'Dr. phil. Bern', 'Gastdozent Universität Madison / USA', 'Vortragsreisen in der ganzen Welt', 'Lehrauftrag Kultursoziologie und Kulturkritik', 'HonP', 'Ruhestand']","['1919-01-01', '1926-01-01', '1950-01-01', '1955-01-01', '1963-01-01']",['1927-01-01'],[]
1301,6.3.12,Strahm Hans,Strahm,Hans,1901-03-27,1978-07-23,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern', 'Studium in Bern und Berlin', 'Diplom HLA Bern', 'Dr. phil. Bern', 'Schüler von A. Tumarkin', 'Bibliothekar der Stadt-und Universitätsbibliothek', 'Direktor der Stadt-und Universitätsbibliothek', 'PD Mittelalterliche Geschichte insbesondere Geschichte der Stadt und Landschaft Bern', 'HonP', 'Ruhestand']","['1925-01-01', '1929-01-01', '1927-01-01', '1946-01-01', '1948-01-01', '1957-01-01', '1972-01-01']","['1946-01-01', '1972-01-01']",['Vater von aoP Christian Niklaus Ernst Strahm ( 6. 2. 43 )']
1302,6.3.13,Degoumois Leon,Degoumois,Leon,1891-01-01,1962-02-15,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Lehrerseminar Pruntrut', 'Studium in Lausanne Freiburg i. Br.', 'Sekundarlehrerpatent Bern', 'lic. Lausanne', 'Dr. phil. Lausanne', 'Gymnasiallehrer Bern', 'PD Neuere französische Literatur', 'HonP', 'Ruhestand']","['1914-01-01', '1915-01-01', '1938-01-01', '1958-01-01', '1961-01-01']",[],[]
1303,6.3.14,Ernst Alfred,Ernst,Alfred,1904-12-13,1973-10-17,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Bern', 'Studium in Bern München', 'Fürsprecher Bern', 'Dr. jur. Bern', 'Schüler von Walter Burckhardt', 'PD Basel', 'Beamter Generalstabsabteilung', 'Oberstdivisionär', 'Lehrauftrag Militärwissenschaft und Kriegsgeschichte', 'HonP', 'Ruhestand']","['1930-01-01', '1934-01-01', '1947-01-01', '1956-01-01', '1962-01-01', '1972-01-01']",[],[]
1304,6.3.15,Keller Hans-Gustav,Keller,Hans-Gustav,1902-11-12,1977-08-10,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern', 'Studium in Bern Wien Heidelberg Berlin', 'Dr. jur. Heidelberg', 'Dr. phil. Bern', 'Konservator Schloss Thun', 'Direktor eidg. Zentralbibliothek', 'PD Neuere Geschichte', 'HonP', 'Ruhestand']","['1919-01-01', '1944-01-01', '1948-01-01', '1963-01-01', '1973-01-01']",['1947-01-01'],[]
1305,6.3.16,Hubschmid Johannes,Hubschmid,Johannes,1916-08-14,,['Universität'],['philosophisch-historisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Gymnasium in Zürich', 'Studium in Zürich Grenoble Paris Florenz', 'Dr. Zürich', 'Schüler von A. Staiger Jud M. Leumann ( Zürich )', 'Linguist Eidg. Landestopographie', 'PD Romanische Sprachwissenschaft mit besonderer Berücksichtigung des Vorromanischen', 'HonP', '-', 'Lehrauftrag Heidelberg und Frankfurt a. M.', 'PD Heidelberg', 'aoP Heidelberg', 'Professor Heidelberg', 'Gastprofessor Ecole pratique des Hautes Etudes Paris']","['1942-01-01', '1949-01-01', '1964-01-01', '1960-01-01', '1962-01-01', '1966-01-01', '1969-01-01']","['1962-01-01', '1971-01-01']",[]
1306,6.3.17,Steiger Franz Robert,Steiger,Franz Robert,1906-12-30,,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern', 'Studium in Bern und Paris', 'Diplom HLA Bern', 'Dr. phil. nat. Bern', 'Schüler von W. Scherrer', 'Gymnasiallehrer Solothurn', 'Gymnasiallehrer Bern', 'Lehrauftrag Praktische Ausbildung der Gymnasiallehrer', 'HonP', 'Ruhestand']","['1930-01-01', '1933-01-01', '1937-01-01', '1958-01-01', '1965-01-01', '1973-01-01']",['1958-01-01'],[]
1307,6.3.18,Brunner Fernand,Brunner,Fernand,1920-10-08,,['Universität'],['philosophisch-historisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Gymnasium in Lausanne', 'Studium in Lausanne Paris', 'lic. Lausanne', 'Dr. phil. Paris', 'aoP Neuenburg', 'Lehrauftrag Philosophie in französischer Sprache mit besonderer Berücksichtigung der mittelalterlichen Philosophie', 'HonP', '-', 'Hauptamtlich oP Neuenburg']","['1942-01-01', '1951-01-01', '1956-01-01', '1967-01-01']",[],[]
1308,6.3.19,Eigeldinger Marc,Eigeldinger,Marc,1917-12-19,,['Universität'],['philosophisch-historisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Gymnasium in La Chaux-de-Fonds', 'Studium in Neuenburg', 'lic. Neuenburg', 'Dr. phil. Neuenburg', 'Gymnasiallehrer Neuenburg', 'PD Neufranzösische Literatur besonders des 19. Jahrhunderts', 'HonP', '-', 'oP Neuenburg']","['1940-01-01', '1943-01-01', '1962-01-01', '1968-01-01']",[],[]
1309,6.3.20,Flückiger Paul Frederic,Flückiger,Paul Frederic,1907-09-28,1981-03-18,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Bern', 'Studium in Bern Florenz Grenoble', 'Diplom HLA Bern', 'Dr. phil. Bern', 'Schüler von Karl Jaberg Carlo Sganzini', 'Gymnasiallehrer', 'Lehrauftrag Methodik des Unterrichts in modernen Fremdsprachen', 'HonP', 'Ruhestand']","['1940-01-01', '1945-01-01', '1967-01-01', '1971-01-01', '1975-01-01']",[],[]
1310,6.3.21,Leidig Emanuel,Leidig,Emanuel,1901-04-06,,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['High School Adelaide', 'Studium in Adelaide ( Australien ) München', 'Magister Artium Adelaide', 'Dr. oec. publ. München', 'Gymnasial-Rektor Lektor Erlangen und Nürnberg', 'Lektor Modernes Englisch', 'HonP', 'Ruhestand']","['1926-01-01', '1928-01-01', '1949-01-01', '1971-01-01']",[],[]
1311,6.3.22,Roulet Louis-Edouard,Roulet,Louis-Edouard,1917-10-18,,['Universität'],['philosophisch-historisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Gymnasium Bern', 'Studium in Bern und Genf', 'Diplom HLA Bern', 'Dr. phil. Bern', 'oP Neuenburg', ""Lehrauftrag L ' enseignement de l ' histoire en langue francaise"", 'HonP', '-']","['1943-01-01', '1947-01-01', '1965-01-01', '1971-01-01']",[],[]
1312,6.3.23,Siegfried Kurt,Siegfried,Kurt,,,['Universität'],['philosophisch-historisch'],"['austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Dr. phil.', 'Lehrauftrag Erziehungsberatung', 'HonP Aufgaben und Methoden der Erziehungsberatung', '-']","['1963-01-01', '1971-01-01']",[],[]
1313,6.3.24,Stadler Edmund Clemente,Stadler,Edmund Clemente,1912-04-03,,['Universität'],['philosophisch-historisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Gymnasium Luzern', 'Studium in München Lausanne Kiel Köln Paris und Wien', 'Dr. phil. Köln', 'Schüler von A. Kutscher ( München )', 'Assistent Köln', 'Konservator der Schweizerischen Theatersammlung Bern', 'Lehrauftrag Theaterwissenschaft', 'HonP', 'Ruhestand', 'Lehrbeauftragter Zürich ( Universität )']","['1949-01-01', '1937-01-01', '1946-01-01', '1948-01-01', '1971-01-01', '1982-01-01']",['1977-01-01'],[]
1314,6.3.25,Gilg Peter,Gilg,Peter,1922-03-17,,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'lehrtaetigkeit_unibe']","['Bibliothekar Redaktor', 'PD Neueste Geschichte und Zeitgeschichte besonders politische Ideengeschichte', 'HonP Zeitgeschichte und Staatskunde', '-']","['1964-01-01', '1974-01-01']",[],['Sohn von oP Arnold Gilg ( 2. 1. 11 )']
1315,6.3.26,Räz Gerhart Friedrich,Räz,Gerhart Friedrich,1916-11-15,,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern', 'Studium in Bern und München', 'Diplom HLA Bern', 'Dr. phil. Bern', 'Schüler von O. Gigon', 'Rektor des Literargymnasiums Bern-Neufeld', 'Lehrauftrag Gymnasialer Unterricht', 'HonP Gymnasialer Unterricht systematische und historische Pädagogik', 'Ruhestand']","['1943-01-01', '1950-01-01', '1974-01-01', '1975-01-01', '1982-01-01']",[],[]
1316,6.3.27,Breitenbach Hans-Rudolf,Breitenbach,Hans-Rudolf,1923-01-04,,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Solothurn', 'Studium in Lausanne Basel Oxford', 'Dr. phil. Basel', 'Diplom HLA Basel', 'Schüler von P. von der Mühll H. Fuchs W. Kaegi ( Basel ) Ed. Fraenkel ( Oxford )', 'Rektor des Gymnasiums Solothurn', 'PD Antike Historiographie', 'HonP Alte Geschichte und antike Historiographie', '-']","['1948-01-01', '1949-01-01', '1968-01-01', '1976-01-01']",[],[]
1317,6.3.28,Grüninger Hans Werner,Grüninger,Hans Werner,1930-03-22,,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Kantonsschule Luzern', 'Studium in Paris Southern Illinois University Carbondale USA', 'lic. Paris ( Sorbonne )', 'Master of Arts Southern Illinois University', 'Dr. Paris ( Sorbonne )', 'Dozent Kalamazoo College', 'Howard University', 'City College New York', 'Windham College ( Vermont )', 'Lektor Deutsche Literatur für französischsprachige Studierende', 'HonP', '-']","['1954-01-01', '1955-01-01', '1963-01-01', '1970-01-01', '1976-01-01']",[],[]
1318,6.3.29,Maier Franz Georg,Maier,Franz Georg,1925-04-12,,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Bern', 'Studium in Bern Zürich', 'Dr. phil. Bern', 'Diplom HLA Bern', 'Schüler von R. Feller H. v. Greyerz W. Naef Fr. Strich', 'Direktor der Schweizerischen Landesbibliothek in Bern', 'Lehrauftrag Bibliothekswesen', 'HonP', '-']","['1949-01-01', '1951-01-01', '1973-01-01', '1978-01-01']",[],[]
1319,6.3.30,Michel Hans Armin,Michel,Hans Armin,1924-01-01,,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Lehrerseminar Hofwil-Bern', 'Studium in Bern', 'Dr. phil. Bern', 'Schüler von R. Feller W. Näf H. v. Greyerz Fr. Strich', 'Adjunkt Staatsarchiv Bern', 'Direktor der Stadt-und Universitätsbibliothek Bern', 'Lehrauftrag Bernische Geschichte', 'HonP', '-']","['1954-01-01', '1972-01-01', '1978-01-01']",[],[]
1320,6.3.31,Scheidegger Jean Rodolphe,Scheidegger,Jean Rodolphe,1926-12-02,,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Dr. phil. Bern', 'Gymnasium Biel', 'Studium in Bern und Paris', 'Diplom HLA Bern', 'Schüler von P. Köhler und S. Heinimann', 'Seminarlehrer in Thun', 'Gymnasiallehrer in Biel', 'Lektor Französische Sprache', 'PD', 'HonP', '-']","['1956-01-01', '1952-01-01', '1966-01-01', '1977-01-01', '1979-01-01']",[],[]
1321,6.3.32,Kurz Hans Rudolf,Kurz,Hans Rudolf,1915-04-23,,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Bern', 'Studium in Bern', 'Fürsprecher', 'Dr. jur.', 'Stellv. Direktor Eidg. Militärverwaltung', 'Lehrauftrag Schweizerische Militärgeschichte', 'HonP', '-']","['1940-01-01', '1943-01-01', '1973-01-01', '1980-01-01']",[],[]
1322,6.3.33,Ramseyer Rudolf Johann,Ramseyer,Rudolf Johann,1923-04-03,,['Universität'],['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Staatsseminar des Kantons Bern', 'Studium in Bern', 'Dr. phil.', 'Schüler von P. Zinsli W. Kohlschmidt ( Bern )', 'Sekundarlehrer und Explorator der kant. Nomenklaturkommission', 'Lektor SLA Neuhochdeutsche Sprache und Volkskunde', 'HonP', '-']","['1959-01-01', '1963-01-01', '1980-01-01']",[],[]
1323,6.4.6,Müller Anton,Müller,Anton,1795-01-01,1871-10-08,"['Akademie', 'Universität']",['philosophisch-historisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['PD Englisch s. Nr. 6. 4. 6 Universität', 'Studium in Bern ( Akademie )', 'Lehrer Literarschule Bern', 'PD Englisch ( periodisch )', 'PD Englische und italienische Sprache und Literatur', 'Lehrer am Progymnasium Bern']","['1821-01-01', '1822-01-01', '1834-01-01', '1839-01-01']",['1839-01-01'],[]
1324,6.4.10,Pursh Joseph,Pursh,Joseph,,,"['Akademie', 'Universität']",['philosophisch-historisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'lehrtaetigkeit_unibe']","['PD Musiktheorie s. Nr. 6. 4. 10 Universität', 'Dozent an der Akademie Bern', 'PD Musiklehre', 'Entlassung']","['1831-01-01', '1834-01-01', '1844-01-01']",['1844-01-01'],[]
1325,6.4.11,von Sinner Albrecht,von Sinner,Albrecht,,,['Universität'],['philosophisch-historisch'],"['austritt_unibe', 'lehrtaetigkeit_unibe']",['PD Militärwissenschaften und Mathematik'],"['1834-01-01', '1839-01-01']",[],[]
